ID,Title,Latitude,Longitude,Country,Location,Region,"Type of Legal Provision",Status_1_Primary,Status_1_Year,Status_1_Secondary,Status_2_Primary,Status_2_Year,Status_2_Secondary,Status_3_Primary,Status_3_Year,Status_3_Secondary,Status_4_Primary,Status_4_Year,Status_4_Secondary,Status_5_Primary,Status_5_Year,Status_5_Secondary,"Year Initiated","Theoretical Framing",RoN,Personhood,AnimalRights,LEK,Indigenous,EcoGov,"Type of Ecological Jurisprudence","Initiating Actor Name",Indigenous.1,NGO,CivSoc,International,Government,Court,"Initiating Actor Type","Ecological Actor Name","Ecological Actors","Identified Ecosystem","Caretaking System","Caretaking Actor",Representation,Synopsis,Permalink
1,"U.S. Supreme Court Case: Sierra Club v. Morton (should trees have legal standing)",36.7905079,-120.0679899,US|USA,USA,"North America","Court Case",Submitted,1969,,,Failed,1972,,,,,,,,,,1969,"Legal Personhood; legal standing for nature (P. 6-7)",1,1,0,0,0,0,"Rights Of Nature|Personhood","Sierra Club; Supreme Court Justice Douglas",0,1,0,0,0,1,NGO|Court,"The Mineral King Valley",Forest,1,0,0,0,"In 1972 Supreme Court Justice Douglas wrote a dissent arguing that the Mineral King Valley should have standing to sue for its own preservation.",https://ecojurisprudence.org/initiatives/sierra-v-morton/
2,"Tamaqua Borough (USA) Ordinance: sewage sludge and rights of nature",40.7973,-75.9694,US|USA,"Pennsylvania, USA","North America",Legislation,Approved,2006,,,,,,,,,,,,,,2006,"Nature as ""natural communities"" that should be considered ""persons"" for purposes of enforcing their civil rights (Sec 7.6)",1,1,0,0,0,0,"Rights Of Nature|Personhood","Army For A Clean Environment; CELDF",0,1,1,0,0,0,"Civil Society|NGO","Natural communities and ecosystems","All Nature",,1,3,2,"In 2006, Tamaqua, Pennsylvania passed a local ordinance recognizing rights of nature and banning corporations from disposing of sewage sludge.",https://ecojurisprudence.org/initiatives/tamaqua-borough-sewage-sludge-ordinance/
3,"Ecuador Constitution of 2008: rights of nature",-0.2130957,-78.5688972,EC|Ecuador,Ecuador,"Latin America",Constitution,Submitted,2007,,,Approved,2008,,,,,,,,,,2007,"Rights of Nature (defined as Pachamama) portrayed a part of a collection of rights that is a tool for achieving the development approach ""buen vivir"" (sumak kawsay) (Preamble, Chapter 7)",1,0,0,0,1,0,"Rights Of Nature|Indigenous Model","Constituent Assembly of Ecuador, with submissions from civil society",1,0,1,0,1,0,"Government|Civil Society|Indigenous",Pachamama,"All Nature",,1,3,2,"In 2008, Ecuador adopted a new constitution recognizing rights of nature, or Pachamama, with goals of harmony with nature and the concept of good living.",https://ecojurisprudence.org/initiatives/ecuador-constitution/
4,"Hawaii (USA) court case: Palila v. Hawaii Department of Land and Natural Resources",21.3069,-157.8583,US|USA,"Hawaii, USA","North America","Court Case",Submitted,1979,,,Approved,1981,,,,,,,,,,1979,"""Thus, the presence of mouflon sheep on Mauna Kea threatens the continued existence and the recovery of the Palila species"" (Page",0,0,0,0,0,1,"Eco-Governance System","Michael R. Sherwood, Sierra Club Legal Defense Fund, Inc., San Francisco, Cal., for plaintiffs-appellees",0,1,1,0,0,0,"NGO|Civil Society","The Palila",Animal,1,0,0,0,"The Sierra Club won a 1981 lawsuit to protect Palila and their habitat from harm by Hawaii's game management practices involving feral goats and sheep.",https://ecojurisprudence.org/initiatives/palila-v-hawaii-department-of-lane-and-natural-resources/
5,"Florida (USA) court case: Loggerhead Turtle v. County Council of Volusia County",28.5383,-81.3792,US|USA,"Florida, USA","North America","Court Case",Submitted,1995,,,Approved,1998,,,,,,,,,,1995,"""Instead, the Court is called upon to ascertain whether the County's activities will likely result in future takings of protected sea turtles"" (Page 10 of first instance).",0,0,0,0,0,1,"Eco-Governance System","Shirley Reynolds and Rita Alexander",0,0,1,0,0,0,"Civil Society","Loggerhead Turtle","Animal|Marine Ecosystem",1,0,0,0,"Citizens who filed a lawsuit on behalf of Loggerhead and Green turtles facing barriers to reach the ocean from county vehicles partially lost the case in 1995.",https://ecojurisprudence.org/initiatives/loggerhead-turtle-v-county-council-of-volusia-county/
6,"USA Federal Court Case: Cetacean Community v. Bush",38.9072,-77.0369,US|USA,USA,"North America","Court Case",Failed,2004,,,,,,,,,,,,,,2004,"""Through their attorney, the Cetaceans contend that SURTASS LFAS harms them by causing tissue damage and other serious injuries, and by disrupting biologically important behaviors including feeding and mating"" (Page 2).",1,1,1,0,0,0,"Rights Of Nature|Personhood|Animal Rights","Cetacean Community (Plaintiff); Lanny Sinkin (lawyer)",0,0,1,0,0,0,"Civil Society",Cetaceans,"Animal|Marine Ecosystem",1,0,0,0,"In 2004, the “Cetacean Community” (plaintiffs) filed and lost a lawsuit to halt actions by the U.S. Navy that cause harm to Cetaceans.",https://ecojurisprudence.org/initiatives/cetacean-community-v-bush/
7,"Barnstead (USA) Town Ordinance: community water rights and rights of nature",43.3389,-71.2782,US|USA,"New Hampshire, USA","North America",Legislation,Approved,2006,,,,,,,,,,,,,,2006,"""We the People of the Town of Barnstead declare that we have the duty to safeguard the water both on and beneath the Earth’s surface, and in the process, safeguard the rights of people within the community of Barnstead, and the rights of the ecosystems of which Barnstead is a part"" (Page 1).",1,0,0,0,0,0,"Rights Of Nature",CELDF,0,1,0,0,0,0,NGO,"Water; Ecosystems","All Nature",1,1,3,2,"Barnstead, New Hampshire adopted an ordinance recognizing water rights and the rights of nature and limiting corporate powers within the town in 2006.",https://ecojurisprudence.org/initiatives/barnstead-water-rights-and-local-self-government-ordinance/
8,"Rush Township (USA) Ordinance: sewage sludge and rights of nature",40.8321,-75.9812,US|USA,"Pennsylvania, USA","North America",Legislation,Approved,2006,,,,,,,,,,,,,,2006,"""Natural communities and ecosystems possess inalienable and fundamental rights to exist and flourish"" (page 5 of Part 2).",1,0,0,0,0,0,"Rights Of Nature","CELDF; Pennsylvania Community Rights Network",0,1,0,0,0,0,NGO,"Natural communities and ecosystems","All Nature",,2,1,0,"In 2006, Rush Township in Pennsylvania recognizing rights of nature and banning corporations from the land application of sewage sludge within the township.",https://ecojurisprudence.org/initiatives/rush-township-sewage-sludge-ordinance/
9,"Blaine Township (USA) Ordinance: corporate land development and rights of nature",40.1850,-80.3993,US|USA,"Pennsylvania, USA","North America",Legislation,Approved,2006,,,,,,,,,,,,,,2006,"""Natural communities and ecosystems possess inalienable and fundamental rights to exist and flourish within Blaine Township"" (page 2).",1,0,0,0,0,0,"Rights Of Nature","Residents of the Township of Blaine; CELDF",0,1,1,0,0,0,"Civil Society|NGO","Natural communities and ecosystems","All Nature",,1,3,2,"Blaine, Pennsylvania passed an ordinance recognizing rights of nature and preventing land development from non-family corporations within the township in 2006.",https://ecojurisprudence.org/initiatives/blaine-township-corporate-land-development-ordinance/
10,"Montgomery County (USA) Ordinance: anti-corporate takings and local self-governance",37.2070,-80.4104,US|USA,"Virginia, USA","North America",Legislation,Approved,2006,,,,,,,,,,,,,,2006,"""Natural communities and ecosystems possess inalienable and fundamental rights to exist and flourish within the County of Montgomery. Ecosystems shall include, but not be limited to, forests, meadows, caverns, wetlands, streams, rivers, aquifers, and other water systems."" (3)",1,1,0,0,0,0,"Rights Of Nature|Personhood",CELDF,0,1,0,0,0,0,NGO,"Natural communities and ecosystems","All Nature",,2,1,0,"Members of CELDF drafted an ordinance for Montgomery County in Virginia recognizing rights of nature and residents’ rights to a healthy environment in 2006.",https://ecojurisprudence.org/initiatives/montgomery-county-anti-corporate-takings-and-securing-local-self-governance-ordinance/
